Strain,LiP_EC1.11.1.14,MnP_EC1.11.1.13,AAO_EC1.1.3.7,DyP_EC1.11.1.19,VDM_EC3.1.1.68,AtzA_EC3.8.1.8,AtzB_EC3.5.1.42,CAH_EC3.5.2.15,N-dealk_EC1.14.14,OxRed_EC1.4.99,MelD_EC3.5.4.23,AmAH_EC3.5.1.101,AmidAH_EC3.5.1.102,HalDeh_EC3.8.1.5,AlkMon_EC1.14.15.3,NADPH_Ox_EC1.6.99,CytP450_EC1.14.14,ABC_transp,MFS_transp,RND_efflux,TRAP_syst,Mem_transp,Eff_pumps,Resist_genes,Genus,classic_raw,classic_score,complementary_raw,complementary_score,oxidative_raw,oxidative_score,transport_raw,transport_score,genomic_score,rank_overall,is_published_finalist
DSM19307_Prescottella_equi,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,5,3,0,0,7,1,1,Prescottella,1,0.3333333333333333,0,0.0,5,0.0,16,0.13636363636363635,0.15075757575757576,77,False
CS1_Craterilacuibacter_sinensis,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,5,2,0,0,7,1,0,Craterilacuibacter,1,0.3333333333333333,0,0.0,5,0.0,15,0.12121212121212122,0.14696969696969697,78,False
ATCC27377_Micrococcus_antarcticus,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,3,1,0,0,5,1,0,Micrococcus,1,0.3333333333333333,0,0.0,7,0.08,10,0.045454545454545456,0.144030303030303,79,False
1A9_Microvirga_jeongseonensis,1,1,1,2,2,0,0,0,1,2,0,0,0,0,1,1,2,8,5,0,0,10,2,2,Microvirga,0,0.0,0,0.0,14,0.36,25,0.2727272727272727,0.14018181818181819,80,False
AN23_Prescottella_equi,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,4,2,0,0,6,1,0,Prescottella,1,0.3333333333333333,0,0.0,5,0.0,13,0.09090909090909091,0.13939393939393938,81,False
1C8_Microvirga_tunisiensis,1,1,1,2,2,0,0,0,1,2,0,0,0,0,1,1,2,7,4,0,0,9,2,1,Microvirga,0,0.0,0,0.0,14,0.36,22,0.22727272727272727,0.1288181818181818,82,False
ATCC700614_Prescottella_equi,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,3,1,0,0,5,1,0,Prescottella,1,0.3333333333333333,0,0.0,5,0.0,10,0.045454545454545456,0.12803030303030302,83,False
CIP109542_Prescottella_equi,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,4,1,0,Prescottella,1,0.3333333333333333,0,0.0,5,0.0,7,0.0,0.11666666666666665,84,False
R1_Deinococcus_radiodurans,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,1,1,8,5,0,0,10,2,2,Deinococcus,0,0.0,0,0.0,8,0.12,25,0.2727272727272727,0.09218181818181817,85,False
O47_Staphylococcus_epidermidis,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,8,5,0,0,10,1,3,Staphylococcus,0,0.0,0,0.0,6,0.04,24,0.25757575757575757,0.0723939393939394,86,False
ATCC12228_Staphylococcus_epidermidis,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,7,4,0,0,9,1,2,Staphylococcus,0,0.0,0,0.0,6,0.04,21,0.21212121212121213,0.06103030303030303,87,False
W1B6_Staphylococcus_epidermidis,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,6,3,0,0,8,1,1,Staphylococcus,0,0.0,0,0.0,6,0.04,18,0.16666666666666666,0.049666666666666665,88,False
ATCC700647_Xenorhabdus_poinarii,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,6,3,0,0,8,1,1,Xenorhabdus,0,0.0,0,0.0,6,0.04,18,0.16666666666666666,0.049666666666666665,89,False
ATCC19061_Xenorhabdus_nematophila,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,5,2,0,0,7,1,1,Xenorhabdus,0,0.0,0,0.0,6,0.04,15,0.12121212121212122,0.038303030303030304,90,False
CSF41498_Staphylococcus_epidermidis,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,5,2,0,0,7,1,0,Staphylococcus,0,0.0,0,0.0,6,0.04,15,0.12121212121212122,0.038303030303030304,91,False
NCTC8325_Staphylococcus_aureus,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,4,1,0,0,6,1,0,Staphylococcus,0,0.0,0,0.0,6,0.04,12,0.07575757575757576,0.02693939393939394,92,False
2E6_Xenorhabdus_miraniensis,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,4,1,0,0,6,1,0,Xenorhabdus,0,0.0,0,0.0,6,0.04,12,0.07575757575757576,0.02693939393939394,93,False
DSM3370_Xenorhabdus_bovienii,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,3,0,0,0,5,1,0,Xenorhabdus,0,0.0,0,0.0,6,0.04,9,0.030303030303030304,0.015575757575757576,94,False
DSM16337_Xenorhabdus_cabanillasii,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,4,1,0,Xenorhabdus,0,0.0,0,0.0,6,0.04,7,0.0,0.008,95,False
